hhid,group_id,hhnomembers,gender_hoh,age_hoh,educyears_hoh,readwrite_hoh,noclasspassed_hoh,higheduc_hoh,hhnomembers_above18,hhnomembers_below18,hhreg_muslim,hhreg_christian,hhcaste_fc,hhcaste_bc,hhcaste_mbc,hhcaste_sc_st
116143,179,4,1,41,9,1,0,0,2,2,0,0,0,1,0,0
116172,169,7,1,38,11,1,0,0,4,3,0,0,0,1,0,0
116191,159,7,1,53,0,0,1,0,7,0,0,0,0,0,1,0
116199,169,7,1,38,10,1,0,0,5,2,0,0,0,1,0,0
116217,176,12,1,42,0,0,1,0,7,5,0,0,0,1,0,0
116219,176,3,1,49,12,1,0,0,3,0,0,0,0,0,1,0
116223,176,4,1,61,12,1,0,0,4,0,0,1,0,1,0,0
116228,176,11,1,35,7,1,0,0,7,4,0,0,0,0,1,0
116229,176,4,1,34,14,1,0,0,2,2,0,0,0,1,0,0
116233,176,4,1,45,7,1,0,0,4,0,0,1,0,1,0,0
116234,176,7,0,38,0,0,1,0,3,4,0,0,0,0,1,0
116261,157,2,0,54,0,0,1,0,2,0,0,0,0,0,1,0
116275,176,2,1,60,7,1,0,0,2,0,0,0,0,0,1,0
116293,159,5,1,40,0,0,1,0,2,3,0,0,0,0,0,1
116294,159,5,1,51,12,1,0,0,3,2,0,0,1,0,0,0
116297,159,10,1,55,0,0,1,0,8,2,0,0,0,0,0,1
116324,179,3,1,29,18,1,0,1,2,1,0,0,0,0,0,1
116326,179,2,1,66,7,1,0,0,2,0,0,0,0,0,0,1
116327,169,6,1,37,18,1,0,1,3,3,0,0,0,0,1,0
116337,169,7,1,40,14,1,0,0,4,3,0,0,0,0,1,0
116350,176,6,1,30,11,1,0,0,4,2,0,0,0,0,0,1
116351,157,5,0,27,10,1,0,0,2,3,0,0,0,0,0,1
116368,179,8,1,59,0,0,1,0,6,2,0,0,0,1,0,0
116371,159,3,1,46,11,1,0,0,3,0,0,0,0,0,1,0
116417,176,7,1,34,11,1,0,0,6,1,0,0,0,1,0,0
116424,159,5,1,37,10,1,0,0,2,3,0,0,0,0,1,0
116435,176,3,0,39,0,1,1,0,1,2,0,0,0,1,0,0
116437,169,4,0,44,7,1,0,0,3,1,1,0,0,1,0,0
116438,169,7,1,41,7,1,0,0,4,3,0,0,0,1,0,0
116448,159,5,0,44,7,0,0,0,4,1,0,0,0,0,1,0
116452,159,4,1,33,10,1,0,0,2,2,0,0,0,0,1,0
116464,157,4,0,28,7,0,0,0,2,2,0,0,0,0,1,0
116468,157,4,1,41,16,1,0,1,2,2,0,0,0,0,1,0
116470,159,5,1,39,12,1,0,0,2,3,0,0,0,0,1,0
116482,157,4,1,35,7,0,0,0,2,2,0,0,0,1,0,0
116490,168,5,1,55,9,1,0,0,4,1,0,0,0,0,1,0
116495,157,7,1,55,7,1,0,0,5,2,0,0,0,0,1,0
116504,159,4,1,57,7,1,0,0,4,0,0,0,0,0,1,0
116510,159,3,0,44,7,1,0,0,3,0,0,0,0,1,0,0
116513,179,5,0,37,0,0,1,0,5,0,0,0,0,0,0,1
116515,179,5,0,35,0,0,1,0,4,1,0,0,0,0,0,1
116521,169,5,1,47,9,1,0,0,4,1,0,0,0,0,1,0
116522,176,6,1,37,7,0,0,0,3,3,0,0,0,1,0,0
116536,169,5,0,40,7,1,0,0,1,4,0,0,0,0,1,0
116541,159,2,1,29,14,1,0,0,2,0,0,0,0,0,0,1
116545,157,6,0,31,11,1,0,0,2,4,0,0,0,0,0,1
116547,169,6,1,43,13,1,0,0,2,4,0,0,0,0,1,0
116552,169,5,1,38,9,1,0,0,3,2,0,0,0,0,1,0
116558,169,7,1,48,7,1,0,0,4,3,0,0,0,1,0,0
116563,169,5,1,28,12,1,0,0,4,1,0,0,0,0,1,0
116565,179,4,1,28,7,1,0,0,2,2,0,0,0,1,0,0
116577,157,6,1,36,12,1,0,0,3,3,0,0,0,0,1,0
116604,169,6,1,41,8,1,0,0,4,2,0,0,0,0,1,0
116606,159,10,1,36,7,1,0,0,4,6,0,0,0,0,1,0
116617,159,3,1,64,0,0,1,0,3,0,0,0,0,0,1,0
116620,159,4,0,40,11,1,0,0,3,1,0,0,0,0,1,0
116644,169,3,0,55,7,1,0,0,3,0,0,0,0,0,1,0
116652,159,10,0,50,0,0,1,0,7,3,0,0,0,0,1,0
116658,159,2,0,45,0,0,1,0,2,0,0,0,0,0,1,0
116665,159,3,1,41,0,0,1,0,2,1,0,0,0,0,1,0
116668,159,4,1,37,9,1,0,0,2,2,0,0,0,0,1,0
116676,159,9,1,41,13,1,0,0,5,4,0,0,0,0,1,0
116677,159,4,1,50,18,1,0,1,2,2,0,0,0,0,1,0
116678,159,4,1,43,11,1,0,0,2,2,0,0,0,0,1,0
116686,159,4,1,51,7,1,0,0,4,0,0,0,0,0,1,0
116693,176,2,0,64,0,0,1,0,2,0,0,0,0,0,1,0
116694,179,9,1,64,0,0,1,0,5,4,0,0,0,0,1,0
116711,157,5,1,60,12,1,0,0,5,0,0,0,0,0,1,0
116715,179,6,0,65,0,0,1,0,4,2,0,0,0,0,0,1
116734,179,6,1,64,0,0,1,0,4,2,0,0,0,1,0,0
116736,159,3,1,38,12,0,0,0,2,1,0,0,0,0,1,0
116738,159,5,0,46,7,0,0,0,5,0,0,0,0,0,1,0
116739,179,4,1,34,7,1,0,0,3,1,0,0,0,1,0,0
116741,159,4,1,38,16,1,0,1,2,2,0,0,0,0,1,0
116745,176,6,1,44,7,0,0,0,3,3,0,0,0,1,0,0
116761,169,5,1,45,7,1,0,0,4,1,0,0,0,0,1,0
116767,176,3,1,60,0,1,1,0,3,0,0,0,0,0,1,0
116787,169,4,1,51,9,1,0,0,4,0,0,0,0,0,1,0
116790,159,5,0,29,9,1,0,0,2,3,0,0,0,0,1,0
116841,169,5,1,64,12,1,0,0,4,1,0,0,0,0,1,0
116853,169,3,1,45,7,0,0,0,2,1,0,0,0,1,0,0
116868,176,3,1,42,11,1,0,0,3,0,0,0,0,1,0,0
116869,157,4,1,58,7,1,0,0,4,0,0,0,0,0,1,0
